disengaged,diffs,binMeans,eventpos
0,0.110931792881073,0.122555615542665,2
1,0.20940713893223,0.237045392533156,3
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
0,0.0177490789193963,0.0148497102983566,5
1,0.0286902473468689,0.0148497102983566,6
0,0.264921074986773,0.237045392533156,1
0,0.257308329286846,0.237045392533156,2
0,0.148315558602948,0.237045392533156,3
0,0.104608097810396,0.122555615542665,4
1,0.113484208248728,0.122555615542665,5
0,0.325981940743534,0.237045392533156,1
0,0.00523847827398491,0.0148497102983566,2
0,0.148108844322778,0.237045392533156,3
0,0.139387111945417,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0781305117997611,0.0769679398490755,6
0,0.0952668754360768,0.0769679398490755,7
0,0.0663631824159104,0.0769679398490755,8
0,0.0771827666179279,0.0769679398490755,9
0,0.0554790965976909,0.0432961648248384,10
0,0.0473654862302259,0.0432961648248384,11
0,0.0398265982114156,0.0432961648248384,12
0,0.0599592772368631,0.0769679398490755,13
0,0.0142388034138014,0.0148497102983566,14
0,0.0122417735698257,0.0148497102983566,15
1,0.000994426608355477,0.0148497102983566,16
0,0.229775940951582,0.237045392533156,1
1,0.110931792881073,0.122555615542665,2
0,0.115864326352617,0.122555615542665,1
1,0.204879136116933,0.237045392533156,2
0,0.264921074986773,0.237045392533156,1
0,0.0569334929355989,0.0769679398490755,2
0,0.0520592777482995,0.0432961648248384,3
0,0.141190580954363,0.122555615542665,4
0,0.0917400245901218,0.0769679398490755,5
0,0.0976599823085336,0.122555615542665,6
0,0.0774924624082693,0.0769679398490755,7
1,0.073417813274403,0.0769679398490755,8
0,0.229775940951582,0.237045392533156,1
0,0.237388686651509,0.237045392533156,2
0,0.0263179537250416,0.0148497102983566,3
0,0.122422087010218,0.122555615542665,4
1,0.110648260676442,0.122555615542665,5
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.026111239444872,0.0148497102983566,3
0,0.120618618001272,0.122555615542665,4
1,0.0181898146716568,0.0148497102983566,5
0,0.0414025391960974,0.0432961648248384,1
0,0.131395280092118,0.122555615542665,2
0,0.113172016577094,0.122555615542665,3
0,0.130027798058062,0.122555615542665,4
0,0.054772297815624,0.0432961648248384,5
0,0.00014297018976045,0.0148497102983566,6
0,0.0908694152793738,0.0769679398490755,7
0,0.0780931121703385,0.0769679398490755,8
1,0.0730427731202243,0.0769679398490755,9
0,0.115864326352617,0.122555615542665,1
0,0.204879136116933,0.237045392533156,2
0,0.139120054880522,0.122555615542665,3
0,0.147841787257883,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0781305117997611,0.0769679398490755,6
1,0.0952668754360768,0.0769679398490755,7
0,0.264921074986773,0.237045392533156,1
1,0.204879136116933,0.237045392533156,2
1,0.325981940743534,0.237045392533156,1
0,0.229775940951582,0.237045392533156,1
1,0.110931792881073,0.122555615542665,2
1,0.229775940951582,0.237045392533156,1
0,0.325981940743534,0.237045392533156,1
1,0.00523847827398491,0.0148497102983566,2
1,0.229775940951582,0.237045392533156,1
1,0.325981940743534,0.237045392533156,1
0,0.229775940951582,0.237045392533156,1
1,0.110931792881073,0.122555615542665,2
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
1,0.0782338928184064,0.0769679398490755,4
1,0.115864326352617,0.122555615542665,1
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
0,0.120392992711071,0.122555615542665,6
